,best_sic
2231.0,Q
2136.0,J
6141.0,Q
2314.0,P
8211.0,H
7111.0,G
2315.0,P
2137.0,J
5434.0,I
3534.0,K
2211.0,Q
6126.0,P
1190.0,G
9233.0,N
2442.0,Q
9273.0,I
2311.0,P
1242.0,Q
8125.0,C
6145.0,Q
9272.0,I
8222.0,H
5435.0,I
1181.0,Q
3442.0,R
5315.0,F
1223.0,I
2319.0,P
9274.0,I
5215.0,C
5319.0,F
2222.0,Q
9120.0,F
8214.0,H
2221.0,Q
5323.0,F
1122.0,F
1221.0,I
2312.0,P
3412.0,J
2316.0,P
5436.0,I
2219.0,Q
9211.0,H
9260.0,H
3218.0,Q
2317.0,P
6240.0,N
2215.0,Q
7114.0,Q
5312.0,F
6143.0,Q
6211.0,R
3533.0,K
2471.0,J
3532.0,K
3112.0,C
1241.0,Q
4132.0,K
4121.0,K
7112.0,G
6221.0,S
3312.0,O
2229.0,Q
3564.0,P
5216.0,C
8213.0,H
5321.0,F
5234.0,C
4123.0,K
7125.0,G
1150.0,K
5222.0,C
8141.0,F
3213.0,Q
8135.0,C
1254.0,G
8131.0,C
5213.0,C
8215.0,P
7130.0,G
8132.0,C
2114.0,M
5232.0,C
8129.0,C
5322.0,F
3314.0,O
8114.0,C
8137.0,C
6214.0,H
2444.0,S
5316.0,F
5313.0,F
2443.0,O
5212.0,C
2232.0,Q
9111.0,A
8142.0,F
8111.0,C
5412.0,C
8231.0,H
9231.0,N
5443.0,G
8123.0,C
3313.0,O
9251.0,G
3311.0,O
3511.0,H
6146.0,Q
8121.0,C
9275.0,R
9232.0,N
8234.0,H
8117.0,C
1116.0,S
3315.0,O
5411.0,C
8115.0,C
8118.0,C
6142.0,Q
3443.0,R
2217.0,Q
8239.0,H
